,t,v
600,1895324.0,338.0
601,1895361.0,338.0
602,1895397.0,338.0
603,1895434.0,336.0
604,1895470.0,338.0
605,1895507.0,340.0
606,1895543.0,338.0
607,1895580.0,339.0
608,1895616.0,340.0
609,1895653.0,339.0
610,1895689.0,339.0
611,1895726.0,340.0
612,1895762.0,339.0
613,1895799.0,339.0
614,1895835.0,338.0
615,1895871.0,340.0
616,1895908.0,339.0
617,1895944.0,339.0
618,1895981.0,340.0
619,1896019.0,340.0
620,1896055.0,339.0
621,1896092.0,340.0
622,1896128.0,340.0
623,1896168.0,340.0
624,1896205.0,340.0
625,1896241.0,339.0
626,1896278.0,340.0
627,1896314.0,340.0
628,1896351.0,340.0
629,1896387.0,340.0
630,1896424.0,340.0
631,1896460.0,340.0
632,1896496.0,341.0
633,1896533.0,340.0
634,1896569.0,340.0
635,1896606.0,341.0
636,1896642.0,340.0
637,1896679.0,340.0
638,1896715.0,340.0
639,1896752.0,340.0
640,1896788.0,340.0
641,1896825.0,340.0
642,1896861.0,342.0
643,1896897.0,340.0
644,1896934.0,340.0
645,1896970.0,341.0
646,1897009.0,341.0
647,1897046.0,342.0
648,1897082.0,340.0
649,1897119.0,342.0
650,1897160.0,341.0
651,1897196.0,344.0
652,1897233.0,341.0
653,1897269.0,342.0
654,1897306.0,344.0
655,1897342.0,341.0
656,1897379.0,341.0
657,1897415.0,344.0
658,1897452.0,342.0
659,1897489.0,344.0
660,1897525.0,342.0
661,1897562.0,342.0
662,1897598.0,344.0
663,1897634.0,341.0
664,1897671.0,341.0
665,1897707.0,342.0
666,1897744.0,343.0
667,1897780.0,344.0
668,1897816.0,346.0
669,1897853.0,342.0
670,1897889.0,344.0
671,1897926.0,344.0
672,1897963.0,344.0
673,1897999.0,344.0
674,1898037.0,345.0
675,1898073.0,344.0
676,1898110.0,344.0
677,1898151.0,344.0
678,1898187.0,344.0
679,1898224.0,342.0
680,1898260.0,345.0
681,1898297.0,345.0
682,1898333.0,344.0
683,1898369.0,344.0
684,1898406.0,347.0
685,1898442.0,345.0
686,1898478.0,345.0
687,1898515.0,344.0
688,1898551.0,345.0
689,1898588.0,344.0
690,1898624.0,345.0
691,1898661.0,344.0
692,1898698.0,347.0
693,1898734.0,347.0
694,1898770.0,345.0
695,1898807.0,348.0
696,1898843.0,345.0
697,1898880.0,347.0
698,1898916.0,349.0
699,1898953.0,345.0
700,1898989.0,347.0
701,1899026.0,348.0
702,1899063.0,345.0
703,1899099.0,347.0
704,1899135.0,347.0
705,1899176.0,348.0
706,1899212.0,345.0
707,1899249.0,345.0
708,1899285.0,347.0
709,1899322.0,347.0
710,1899358.0,348.0
711,1899395.0,347.0
712,1899431.0,347.0
713,1899468.0,347.0
714,1899504.0,348.0
715,1899541.0,348.0
716,1899577.0,347.0
717,1899614.0,348.0
718,1899650.0,347.0
719,1899686.0,350.0
720,1899723.0,348.0
721,1899759.0,349.0
722,1899796.0,349.0
723,1899832.0,348.0
724,1899868.0,349.0
725,1899905.0,349.0
726,1899941.0,348.0
727,1899978.0,348.0
728,1900016.0,351.0
729,1900053.0,349.0
730,1900089.0,348.0
731,1900126.0,351.0
732,1900167.0,352.0
733,1900203.0,349.0
734,1900239.0,349.0
735,1900276.0,350.0
736,1900312.0,349.0
737,1900349.0,349.0
738,1900385.0,349.0
739,1900422.0,349.0
740,1900458.0,348.0
741,1900495.0,348.0
742,1900531.0,349.0
743,1900568.0,349.0
744,1900604.0,350.0
745,1900640.0,350.0
746,1900677.0,351.0
747,1900713.0,350.0
748,1900750.0,350.0
749,1900786.0,352.0
750,1900823.0,351.0
751,1900859.0,350.0
752,1900896.0,352.0
753,1900932.0,351.0
754,1900969.0,352.0
755,1901006.0,352.0
756,1901043.0,350.0
757,1901080.0,349.0
758,1901116.0,352.0
759,1901157.0,350.0
760,1901194.0,351.0
761,1901230.0,350.0
762,1901266.0,352.0
763,1901303.0,351.0
764,1901339.0,350.0
765,1901376.0,352.0
766,1901412.0,351.0
767,1901449.0,352.0
768,1901485.0,351.0
769,1901522.0,351.0
770,1901558.0,351.0
771,1901595.0,350.0
772,1901631.0,351.0
773,1901667.0,352.0
774,1901704.0,352.0
775,1901740.0,352.0
776,1901777.0,354.0
777,1901813.0,352.0
