a0,a1,vout,a2,a3,a4,a5,a6,a7,tempS,d
419.0,3544.0,109.09,1455.0,2520.0,2340.0,138.0,2902.0,27.0,1.44,20.37
413.0,3543.0,109.06,1449.0,2521.0,2341.0,142.0,2899.0,26.0,1.12,20.37
411.0,3542.0,109.03,1449.0,2519.0,2341.0,145.0,2898.0,25.0,0.8,20.31
421.0,3542.0,109.03,1451.0,2520.0,2340.0,142.0,2898.0,26.0,1.12,20.4
410.0,3541.0,109.0,1450.0,2521.0,2341.0,152.0,2900.0,25.0,0.8,20.34
402.0,3542.0,109.03,1453.0,2522.0,2341.0,144.0,2902.0,23.0,0.16,20.34
434.0,3542.0,109.03,1451.0,2521.0,2341.0,142.0,2899.0,28.0,1.76,20.28
427.0,3542.0,109.03,1454.0,2523.0,2341.0,142.0,2898.0,26.0,1.12,20.28
409.0,3541.0,109.0,1451.0,2521.0,2341.0,145.0,2902.0,25.0,0.8,20.45
424.0,3541.0,109.0,1449.0,2521.0,2342.0,140.0,2897.0,24.0,0.48,20.43
399.0,3540.0,108.97,1450.0,2521.0,2342.0,153.0,2898.0,23.0,0.16,20.37
412.0,3541.0,109.0,1451.0,2521.0,2342.0,138.0,2900.0,24.0,0.48,20.43
418.0,3541.0,109.0,1450.0,2520.0,2340.0,141.0,2901.0,27.0,1.44,20.37
408.0,3540.0,108.97,1449.0,2519.0,2341.0,145.0,2902.0,25.0,0.8,20.37
418.0,3541.0,109.0,1450.0,2520.0,2341.0,142.0,2899.0,27.0,1.44,20.4
425.0,3541.0,109.0,1450.0,2520.0,2341.0,151.0,2899.0,24.0,0.48,20.28
412.0,3542.0,109.03,1454.0,2519.0,2341.0,140.0,2901.0,27.0,1.44,20.34
413.0,3541.0,109.0,1449.0,2521.0,2341.0,144.0,2899.0,25.0,0.8,20.34
419.0,3542.0,109.03,1452.0,2519.0,2341.0,149.0,2900.0,25.0,0.8,20.31
426.0,3546.0,109.15,1451.0,2520.0,2340.0,144.0,2898.0,24.0,0.48,20.37
406.0,3541.0,109.0,1451.0,2522.0,2342.0,149.0,2899.0,25.0,0.8,20.4
427.0,3540.0,108.97,1450.0,2521.0,2341.0,144.0,2899.0,24.0,0.48,20.34
401.0,3545.0,109.12,1453.0,2519.0,2340.0,142.0,2900.0,23.0,0.16,20.37
