Reference;Qty;Value;DNP;Exclude from BOM;Exclude from Board;Footprint;Datasheet;Height;Manufacturer part code;Manufacturer_Name;Manufacturer_Part_Number;Mouser Part Number;Mouser Price/Stock;Value2;Description_1;Description;#;Sim.Device;Sim.Pins;Field6;Field7;Field10;Field5;Manufacturer_Name ;Mouser Part Number ;Manufacturer_Name  ;Mouser Part Number  ;Manufacturer_Part_Number ;SheetName;FirstOrderDone;Field11
R7,R8,R10,R20,R21,R22,R23,R25;8;RT1206BRD0756KL;;;;Resistor_SMD:R_1206_3216Metric;https://www.mouser.fr/datasheet/3/508/1/PYu-RT_1-to-0.01_RoHS_L_15.pdf;;;;RT1206BRD0756KL;603-RT1206BRD0756KL;;;;56K .1% 1/4W 25ppm;48;;;;;;;YAGEO;;;;;;;
R11,R30;2;CRCW12060000Z0EAC;;;;Resistor_SMD:R_1206_3216Metric;https://www.vishay.com/docs/28773/crcwce3.pdf;;;;;71-CRCW12060000Z0EAC;;;;0R 1/4W 1206;49;;;;;;;;;Vishay;;CRCW12060000Z0EAC;;;
R12,R14;2;SFR10EZPF2200;;;;Resistor_SMD:R_0805_2012Metric;https://www.rohm.com/datasheet?p=SFR10EZPF&dist=Mouser&media=referral&source=mouser.com&campaign=Mouser;;;;SFR10EZPF2200;755-SFR10EZPF2200;;;;220R 150v 125mW 0805;50;;;;;;;ROHM Semiconductor;;;;;;;
R13;1;CR1206-FX-1071ELF;;;;Resistor_SMD:R_1206_3216Metric;https://componentsearchengine.com/Datasheets/1/CR1206-FX-1071ELF.pdf;0.75;;Bourns;CR1206-FX-1071ELF;652-CR1206FX-1071ELF;https://www.mouser.com/Search/Refine.aspx?Keyword=652-CR1206FX-1071ELF;;;1.07K 1% 1206 1/4 W;51;;;;;;;;;;;;;;
R15,R29;2;M251206BB5108JP500;;;;Resistor_SMD:R_1206_3216Metric;https://www.vishay.com/doc?20031;;;;;71-M251206BB5108JP50;;;;5R1 5% 1/4W 1206;52;;;;;;;;;Vishay / Dale;;M251206BB5108JP500;;;
R24;1;RNCE1206BTE1K00;;;;Resistor_SMD:R_1206_3216Metric;https://www.mouser.fr/datasheet/3/1099/1/SEI-RNCE.pdf;;;;RNCE1206BTE1K00;708-RNCE1206BTE1K00;;;;1K .1% 1/4W 25ppm;53;;;;;;;SEI Stackpole;;;;;;;
R26;1;ERA-8AEB152V;;;;Resistor_SMD:R_1206_3216Metric;https://industrial.panasonic.com/cdbs/www-data/pdf/RDM0000/AOA0000C307.pdf;;;;ERA-8AEB152V;667-ERA-8AEB152V;;;;1K5 .1% 1/4W 25ppm;54;;;;;;;Panasonic;;;;;;;
R27,R34;2;RN73R2BTTD4991B25;;;;RN73R2BTTD4991B25:RESC3216X70N;https://www.koaspeer.com/pdfs/RN73R.pdf;0.7;;KOA Speer;RN73R2BTTD4991B25;660-RN73R2BTD4991B25;https://www.mouser.co.uk/ProductDetail/KOA-Speer/RN73R2BTTD4991B25?qs=2WXlatMagcEhNVuIYxDXww%3D%3D;;;4990R 0.1% 0.25W;55;;;;;;;;;;;;;;
R33,R36;2;RC1206JR-071R1L;;;;Resistor_SMD:R_1206_3216Metric;https://www.mouser.fr/datasheet/3/508/1/PYu-RC_Group_51_RoHS_L_12.pdf;;;;;603-RC1206JR-071R1L;;;;1R1 5% 1/4W 1206;56;;;;;;;;;YAGEO;;RC1206JR-071R1L;;;
R39;1;LTR100JZPJ270;;;;LTR100JZPJ270:RESC3264X70N;https://fscdn.rohm.com/jp/products/databook/datasheet/passive/resistor/chip_resistor/ltr-j.pdf;0.7;;ROHM Semiconductor;LTR100JZPJ270;755-LTR100JZPJ270;https://www.mouser.co.uk/ProductDetail/ROHM-Semiconductor/LTR100JZPJ270?qs=rQFj71Wb1eXV0Qkg%2F%252B7akg%3D%3D;;;27R 5% 3W;57;;;;;;;;;;;;;;
R40;1;LRMAP2512-R007FT4;;;;LRMAP2512-R007FT4:RESC6432X90N;https://ms.componentsearchengine.com/Datasheets/1/LRMAP2512-R007FT4.pdf;0.9;;TT Electronics;LRMAP2512-R007FT4;756-LRMAP2512R007FT4;https://www.mouser.co.uk/ProductDetail/Welwyn-Components-TT-Electronics/LRMAP2512-R007FT4?qs=GbEj%2Fc2lfndAsEUYgCINUQ%3D%3D;;;0R007 3W 2512 3W 1%;58;;;;;;;;;;;;;;
RT1,RT2;2;TX08F103F3435ER;;;;Resistor_SMD:R_0805_2012Metric;https://www.ohmite.com/assets/docs/res_tx.pdf?r=false;0.65;;Ohmite;TX08F103F3435ER;588-TX08F103F3435ER;https://www.mouser.co.uk/ProductDetail/Ohmite/TX08F103F3435ER?qs=vEM7xhTegWiti1BXKGM%252B2A%3D%3D;;;NTC 0805 10K 1%;59;;;;;;;;;;;;;;
RV1,RV2,RV3,RV4;4;~;;;;New_Linrary:RV_precision;~;;;;;;;;;Trimmer 100k;60;;;;;;;;;;;;;;
T1;1;B66285G0000X187,B66285K0000X187;;;;New_Linrary:Trans_planner_buck;https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_22_6_16.pdf;;B66285G0000X187,B66285K0000X187;EPCOS / TDK;;871-B66285G0000X187,871-B66285KX187;;;;ELP 22/6/16 with I 22/2.5/16 N87;61;;;;;;;;;;;;;;
T3;1;B66297K0000X197,B66297G0000X197;;;;New_Linrary:ELP_102_20_38_V6;https://www.tdk-electronics.tdk.com/inf/80/db/fer/elp_64_10_50.pdf;;;;;871-B66297KX197,871-B66297GX197;;;;ELP/102/20/38 & I/102/38/20 N197;62;;;;;;;;;EPCOS / TDK;;B66297K0000X197,B66297G0000X197;;yes;
TP1,TP2,TP3,TP4,TP6,TP7,TP8,TP11,TP13,TP14,TP15,TP16,TP18,TP19,TP20,TP21,TP22,TP23,TP24,TP25,TP26;21;TestPoint;;;;TestPoint:TestPoint_Pad_D1.0mm;~;;;;;;;;;test point;63;;;;;;;;;;;;;;
U1;1;stm32F103C8T6-CH340;;;;New_Linrary:SMT32F1-MINI;;;;;;;;;;stm32F103C8T6-CH340 PCB;64;;;;;;;;;;;;;;
U9;1;TLV9024QDRQ1;;;;Package_SO:SOIC-14_3.9x8.7mm_P1.27mm;https://www.ti.com/lit/ds/symlink/tlv9022-q1.pdf;;;;;595-TLV9024QDRQ1;;;;Quad channel comparators, SOIC-14;65;;;;;;;Texas Instruments;;;; TLV9024QDRQ1;;;
